customer_id,gender,age,relationship_status,state,number_of_referrals,tenure_in_months,value_deal,voice_assistance,dual_connectivity,data_service,data_plan,cyber_protection,data_backup,gadget_protection,vip_support,video_streaming,cinema_streaming,audio_streaming,unlimited_data,service_commitment,digital_invoicing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,customer_status,churn_category,churn_reason
CUS-00011-US,Male,51,Married,Tennessee,0,1,,Inactive,,Active,Cable,Active,Inactive,Inactive,Active,Active,Inactive,Inactive,Active,Two Year,Inactive,Credit Card,43,2436,0,0,0,2416,Stayed,,
CUS-00012-US,Male,26,Married,Virginia,6,24,,Active,Active,Active,Fiber Optic,Active,Active,Active,Active,Active,Active,Active,Active,Two Year,Active,Credit Card,119,8707,0,0,1259,9757,Stayed,,
CUS-00013-US,Male,57,Married,North Carolina,15,25,,Active,Inactive,Active,Fiber Optic,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Month-to-Month,Active,Bank Withdrawal,68,375,0,0,84,416,Stayed,,
CUS-00014-US,Male,39,Married,Texas,8,6,Deal 1,Active,Active,Active,Fiber Optic,Active,Active,Active,Inactive,Active,Inactive,Inactive,Active,Two Year,Active,Bank Withdrawal,100,7732,0,0,157,8092,Stayed,,
CUS-00015-US,Male,35,Married,Indiana,1,19,,Inactive,,Active,DSL,Active,Active,Active,Active,Inactive,Inactive,Inactive,Active,Two Year,Inactive,Bank Withdrawal,49,2577,0,0,0,2404,Stayed,,
CUS-00016-US,Male,49,Married,Missouri,5,8,Deal 1,Active,Active,Active,Fiber Optic,Inactive,Active,Active,Inactive,Inactive,Active,Active,Active,Two Year,Active,Credit Card,105,7320,0,0,2021,8028,Stayed,,
CUS-00017-US,Male,42,Single,Massachusetts,15,4,,Inactive,,Active,DSL,Active,Inactive,Active,Active,Active,Active,Active,Active,One Year,Inactive,Credit Card,64,2064,0,0,0,2054,Stayed,,
CUS-00018-US,Male,71,Single,Ohio,14,19,Deal 5,Active,Active,Active,Fiber Optic,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,One Year,Active,Bank Withdrawal,68,70,0,0,8,85,Joined,,
CUS-00019-US,Female,78,Single,Illinois,0,29,,Active,Inactive,Active,DSL,Active,Inactive,Active,Inactive,Inactive,Active,Inactive,Active,One Year,Inactive,Credit Card,67,2955,0,0,436,3076,Churned,Dissatisfaction,Limited range of services
CUS-00020-US,Female,69,Married,Wisconsin,15,36,,Inactive,,Active,Cable,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Month-to-Month,Active,Bank Withdrawal,26,25,0,0,0,26,Churned,Price,Competitor made better offer
CUS-00021-US,Male,85,Married,Massachusetts,13,13,,Active,Active,Inactive,,,,,,,,,,One Year,Inactive,Bank Withdrawal,27,1193,0,0,1566,2895,Stayed,,
CUS-00022-US,Female,31,Married,Tennessee,11,20,,Active,Active,Active,Fiber Optic,Inactive,Active,Active,Inactive,Active,Inactive,Inactive,Active,Month-to-Month,Inactive,Bank Withdrawal,96,1317,0,0,548,1764,Churned,Other,Don't know
CUS-00023-US,Male,29,Married,Maryland,8,23,Deal 4,Active,Active,Active,Fiber Optic,Inactive,Inactive,Inactive,Inactive,Active,Inactive,Inactive,Active,Month-to-Month,Active,Bank Withdrawal,83,2012,0,0,771,2725,Stayed,,
CUS-00024-US,Male,19,Single,Illinois,9,7,,Active,Inactive,Inactive,,,,,,,,,,Month-to-Month,Inactive,Credit Card,20,63,0,0,9,61,Joined,,
CUS-00025-US,Female,29,Single,Tennessee,12,23,Deal 5,Active,Inactive,Inactive,,,,,,,,,,Month-to-Month,Inactive,Credit Card,22,79,0,0,54,138,Churned,Competitor,Long distance charges
CUS-00026-US,Female,35,Married,Michigan,11,27,,Inactive,,Active,DSL,Active,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Month-to-Month,Inactive,Bank Withdrawal,33,32,0,0,0,28,Churned,Attitude,Attitude of service provider
CUS-00027-US,Male,33,Single,Virginia,14,17,,Active,Inactive,Active,Fiber Optic,Inactive,Active,Active,Active,Active,Active,Active,Inactive,One Year,Active,Bank Withdrawal,114,5189,0,20,1934,8173,Stayed,,
CUS-00028-US,Male,48,Married,New Jersey,0,22,,Active,Inactive,Inactive,,,,,,,,,,Two Year,Inactive,Credit Card,21,1146,0,0,1002,2211,Stayed,,
CUS-00029-US,Male,69,Married,Pennsylvania,6,3,Deal 3,Active,Inactive,Inactive,,,,,,,,,,One Year,Active,Bank Withdrawal,20,484,23,0,1044,1495,Stayed,,
CUS-00030-US,Male,48,Single,Illinois,9,2,,Active,Inactive,Inactive,,,,,,,,,,Two Year,Inactive,Bank Withdrawal,21,1456,0,0,2815,4181,Stayed,,
CUS-00031-US,Male,21,Married,Virginia,4,7,Deal 3,Active,Inactive,Active,Fiber Optic,Inactive,Inactive,Inactive,Inactive,Active,Active,Active,Active,One Year,Inactive,Credit Card,87,3006,0,0,1444,4616,Stayed,,
CUS-00032-US,Male,49,Married,Pennsylvania,2,16,Deal 2,Active,Inactive,Inactive,,,,,,,,,,One Year,Inactive,Bank Withdrawal,20,860,0,0,2273,3118,Stayed,,
CUS-00033-US,Male,26,Married,New Jersey,7,8,,Active,Active,Active,Fiber Optic,Active,Active,Active,Active,Active,Active,Active,Active,One Year,Inactive,Bank Withdrawal,1,8576,0,0,3081,11717,Stayed,,
CUS-00034-US,Male,30,Single,New Jersey,12,18,,Active,Inactive,Inactive,,,,,,,,,,One Year,Inactive,Bank Withdrawal,18,1436,29,0,1490,2790,Stayed,,
CUS-00035-US,Male,29,Single,Ohio,15,2,,Inactive,,Active,Cable,Active,Inactive,Active,Active,Inactive,Inactive,Inactive,Active,Two Year,Active,Credit Card,37,833,0,0,0,834,Stayed,,
CUS-00036-US,Male,33,Single,Washington,10,9,,Active,Active,Inactive,,,,,,,,,,Two Year,Active,Bank Withdrawal,25,1091,0,0,1397,2238,Stayed,,
CUS-00037-US,Male,42,Single,New York,16,16,Deal 2,Active,Active,Active,Fiber Optic,Active,Inactive,Inactive,Inactive,Active,Inactive,Inactive,Active,Month-to-Month,Active,Bank Withdrawal,98,5006,0,0,284,5126,Stayed,,
CUS-00038-US,Male,57,Married,Maryland,2,28,Deal 2,Active,Active,Active,Fiber Optic,Active,Active,Inactive,Inactive,Active,Inactive,Inactive,Active,Month-to-Month,Active,Bank Withdrawal,86,6000,0,0,874,6878,Stayed,,
CUS-00039-US,Male,57,Single,Wisconsin,0,33,,Active,Inactive,Inactive,,,,,,,,,,Two Year,Inactive,Bank Withdrawal,22,229,0,0,215,497,Stayed,,
CUS-00040-US,Male,63,Single,Georgia,1,21,Deal 3,Active,Active,Active,Fiber Optic,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Month-to-Month,Active,Bank Withdrawal,70,1792,0,0,701,2406,Stayed,,
CUS-00041-US,Female,64,Married,North Carolina,11,23,,Active,Inactive,Active,DSL,Active,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Month-to-Month,Active,Bank Withdrawal,47,83,0,0,86,182,Churned,Price,Competitor made better offer
CUS-00042-US,Male,25,Married,Virginia,3,24,Deal 3,Active,Inactive,Active,DSL,Inactive,Active,Active,Active,Active,Active,Active,Active,One Year,Inactive,Credit Card,75,1956,0,0,1191,3216,Stayed,,
CUS-00043-US,Male,36,Single,Arizona,13,21,,Active,Active,Inactive,,,,,,,,,,Two Year,Inactive,Credit Card,26,623,45,0,630,1259,Stayed,,
CUS-00044-US,Male,47,Married,Florida,15,14,,Active,Inactive,Active,Cable,Active,Active,Active,Inactive,Inactive,Inactive,Inactive,Active,One Year,Active,Bank Withdrawal,61,1737,45,0,166,1634,Stayed,,
CUS-00045-US,Male,54,Single,Missouri,7,23,,Inactive,,Active,DSL,Active,Active,Active,Active,Inactive,Inactive,Inactive,Active,Month-to-Month,Active,Credit Card,44,1340,13,0,0,1342,Stayed,,
CUS-00046-US,Male,23,Single,Massachusetts,7,3,,Active,Active,Active,DSL,Inactive,Active,Active,Active,Active,Active,Active,Active,Two Year,Active,Bank Withdrawal,90,6399,0,0,2332,7860,Stayed,,
CUS-00047-US,Male,57,Married,Indiana,11,27,,Active,Inactive,Active,Cable,Inactive,Active,Inactive,Inactive,Inactive,Inactive,Inactive,Active,One Year,Inactive,Credit Card,55,733,0,0,325,980,Stayed,,
CUS-00048-US,Male,33,Single,Pennsylvania,5,4,Deal 3,Active,Inactive,Active,Fiber Optic,Inactive,Inactive,Active,Active,Active,Active,Active,Active,One Year,Active,Bank Withdrawal,107,3782,0,0,1167,4509,Stayed,,
CUS-00049-US,Male,51,Single,Massachusetts,13,13,Deal 5,Active,Inactive,Active,DSL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Month-to-Month,Active,Credit Card,47,44,0,0,39,88,Joined,,
CUS-00050-US,Male,53,Married,Michigan,3,14,,Active,Inactive,Active,Fiber Optic,Inactive,Inactive,Inactive,Active,Active,Active,Active,Inactive,Month-to-Month,Active,Bank Withdrawal,103,2432,0,19,60,2605,Stayed,,
CUS-00051-US,Female,26,Single,Texas,3,21,,Active,Active,Active,DSL,Active,Active,Active,Active,Active,Inactive,Inactive,Inactive,One Year,Inactive,Bank Withdrawal,75,5637,0,37,337,6008,Stayed,,
CUS-00052-US,Male,31,Married,North Carolina,10,13,,Active,Active,Active,Fiber Optic,Inactive,Inactive,Inactive,Active,Active,Active,Active,Active,Month-to-Month,Active,Credit Card,110,3718,0,0,896,4897,Stayed,,
CUS-00053-US,Female,80,Single,Ohio,4,27,,Active,Inactive,Active,Fiber Optic,Inactive,Inactive,Inactive,Inactive,Active,Active,Inactive,Active,Two Year,Active,Bank Withdrawal,99,3553,0,0,1748,5092,Stayed,,
CUS-00054-US,Female,43,Single,New Jersey,8,24,,Active,Active,Active,Fiber Optic,Inactive,Active,Active,Inactive,Active,Active,Active,Active,Month-to-Month,Active,Credit Card,108,4179,0,0,1563,5923,Churned,Price,Competitor had better devices
CUS-00055-US,Male,69,Married,Massachusetts,4,1,Deal 4,Active,Inactive,Active,Fiber Optic,Inactive,Active,Inactive,Inactive,Active,Active,Inactive,Inactive,Month-to-Month,Active,Bank Withdrawal,99,1009,0,109,115,1448,Churned,Dissatisfaction,Product dissatisfaction
CUS-00056-US,Female,26,Married,Pennsylvania,2,3,Deal 5,Active,Active,Active,Cable,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Month-to-Month,Inactive,Bank Withdrawal,48,307,0,0,232,577,Stayed,,
CUS-00057-US,Female,56,Single,Virginia,16,32,,Active,Active,Active,DSL,Active,Inactive,Inactive,Inactive,Inactive,Active,Active,Active,Month-to-Month,Active,Mailed Check,65,1793,0,0,78,2109,Stayed,,
CUS-00058-US,Male,29,Married,Arizona,8,32,,Active,Inactive,Inactive,,,,,,,,,,Month-to-Month,Active,Bank Withdrawal,18,509,0,0,612,1118,Stayed,,
CUS-00059-US,Female,68,Single,Michigan,3,17,,Active,Active,Active,Fiber Optic,Inactive,Active,Active,Inactive,Active,Active,Inactive,Active,One Year,Active,Bank Withdrawal,110,7688,6,0,2877,10946,Stayed,,
CUS-00060-US,Male,62,Single,New York,5,2,,Active,Inactive,Active,DSL,Inactive,Inactive,Active,Inactive,Inactive,Inactive,Inactive,Active,One Year,Inactive,Credit Card,54,2649,9,0,1160,4100,Stayed,,
CUS-00061-US,Female,20,Single,Illinois,10,6,,Active,Active,Active,DSL,Inactive,Active,Active,Inactive,Inactive,Active,Active,Active,Month-to-Month,Active,Bank Withdrawal,66,1099,0,0,377,1491,Stayed,,
CUS-00062-US,Female,53,Married,Michigan,16,33,Deal 1,Active,Active,Active,Fiber Optic,Active,Active,Active,Active,Active,Active,Active,Active,Two Year,Active,Bank Withdrawal,108,8385,0,0,2807,10915,Stayed,,
CUS-00063-US,Female,28,Single,North Carolina,9,28,Deal 5,Active,Inactive,Inactive,,,,,,,,,,Month-to-Month,Active,Bank Withdrawal,20,19,0,0,34,52,Churned,Attitude,Attitude of support person
CUS-00064-US,Male,50,Married,Florida,6,39,,Active,Active,Active,Fiber Optic,Inactive,Inactive,Active,Inactive,Active,Active,Active,Active,Month-to-Month,Active,Bank Withdrawal,103,103,0,0,43,133,Churned,Price,Competitor had better devices
CUS-00065-US,Female,69,Married,Arizona,8,33,Deal 3,Active,Inactive,Active,Fiber Optic,Inactive,Active,Inactive,Inactive,Active,Active,Active,Active,One Year,Active,Mailed Check,100,2786,0,0,1077,3855,Stayed,,
CUS-00066-US,Male,45,Single,Michigan,9,38,Deal 4,Active,Active,Active,Fiber Optic,Inactive,Inactive,Active,Inactive,Active,Inactive,Inactive,Active,Month-to-Month,Active,Bank Withdrawal,93,1324,0,0,732,2017,Stayed,,
CUS-00067-US,Female,70,Married,Indiana,11,1,Deal 2,Active,Active,Active,Cable,Active,Inactive,Active,Active,Active,Active,Active,Active,One Year,Inactive,Bank Withdrawal,89,4276,0,0,2025,5740,Churned,Price,Competitor offered higher download speeds
CUS-00068-US,Female,39,Single,New York,12,12,Deal 1,Inactive,,Active,Cable,Inactive,Active,Active,Active,Active,Active,Active,Active,Two Year,Inactive,Bank Withdrawal,56,4137,0,0,0,4013,Stayed,,
CUS-00069-US,Male,44,Married,Massachusetts,3,31,,Active,Active,Active,Fiber Optic,Inactive,Active,Active,Inactive,Active,Active,Active,Active,Month-to-Month,Inactive,Bank Withdrawal,105,3419,0,0,1621,5362,Stayed,,
CUS-00070-US,Female,17,Single,Washington,1,1,Deal 4,Active,Inactive,Inactive,,,,,,,,,,Month-to-Month,Active,Bank Withdrawal,21,194,0,0,460,648,Stayed,,
CUS-00071-US,Male,22,Married,Texas,14,1,,Active,Active,Active,Fiber Optic,Inactive,Active,Active,Active,Active,Active,Active,Inactive,Month-to-Month,Active,Bank Withdrawal,115,2386,0,115,739,3505,Churned,Attitude,Attitude of service provider
CUS-00072-US,Female,47,Single,Texas,7,11,,Inactive,,Active,DSL,Active,Active,Active,Inactive,Inactive,Inactive,Inactive,Active,Month-to-Month,Inactive,Bank Withdrawal,38,1418,0,0,0,1308,Churned,Price,Competitor offered more data
CUS-00073-US,Female,79,Single,Pennsylvania,13,26,,Active,Inactive,Active,Fiber Optic,Active,Inactive,Inactive,Inactive,Active,Inactive,Inactive,Active,Month-to-Month,Active,Credit Card,93,2390,0,0,911,3055,Stayed,,
CUS-00074-US,Male,51,Single,California,5,17,Deal 2,Inactive,,Active,DSL,Active,Inactive,Inactive,Active,Inactive,Inactive,Inactive,Active,One Year,Active,Credit Card,39,1749,0,0,0,1640,Stayed,,
CUS-00075-US,Male,32,Married,Indiana,5,10,,Active,Active,Active,Fiber Optic,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Active,Month-to-Month,Active,Bank Withdrawal,75,532,13,0,200,640,Churned,Price,Competitor made better offer
CUS-00076-US,Female,54,Married,Wisconsin,8,5,Deal 2,Active,Active,Active,DSL,Active,Active,Active,Active,Active,Active,Active,Active,Two Year,Inactive,Mailed Check,93,5461,0,0,2591,8800,Stayed,,
CUS-00077-US,Male,36,Married,Texas,8,25,Deal 4,Active,Inactive,Active,Fiber Optic,Inactive,Inactive,Active,Active,Active,Active,Active,Active,Month-to-Month,Active,Bank Withdrawal,111,1706,0,0,737,2290,Churned,Attitude,Attitude of service provider
CUS-00078-US,Male,50,Married,California,10,7,,Inactive,,Active,DSL,Active,Inactive,Inactive,Active,Inactive,Active,Active,Active,Month-to-Month,Inactive,Credit Card,48,1185,0,0,0,1088,Stayed,,
CUS-00079-US,Female,34,Married,Texas,4,27,,Active,Inactive,Active,Fiber Optic,Inactive,Inactive,Active,Inactive,Active,Active,Active,Active,Month-to-Month,Active,Bank Withdrawal,97,6597,0,0,2176,8824,Stayed,,
CUS-00080-US,Male,64,Married,Wisconsin,4,13,,Active,Inactive,Inactive,,,,,,,,,,One Year,Active,Bank Withdrawal,19,783,0,0,1287,2127,Stayed,,
CUS-00081-US,Female,55,Single,Virginia,14,25,Deal 1,Active,Active,Active,Fiber Optic,Inactive,Active,Inactive,Inactive,Inactive,Active,Active,Inactive,Month-to-Month,Inactive,Credit Card,95,6093,34,39,3138,8374,Stayed,,
CUS-00082-US,Male,43,Single,Wisconsin,14,6,,Active,Inactive,Active,Fiber Optic,Active,Active,Inactive,Active,Inactive,Inactive,Inactive,Active,Month-to-Month,Active,Bank Withdrawal,82,164,0,0,73,274,Churned,Price,Competitor offered higher download speeds
CUS-00083-US,Male,72,Married,Illinois,14,39,,Active,Inactive,Active,DSL,Inactive,Inactive,Active,Active,Active,Active,Active,Active,One Year,Inactive,Bank Withdrawal,75,3068,17,0,348,3739,Stayed,,
CUS-00084-US,Male,60,Married,Arizona,15,29,Deal 4,Active,Active,Active,Fiber Optic,Inactive,Active,Inactive,Inactive,Active,Inactive,Inactive,Active,Month-to-Month,Active,Bank Withdrawal,90,1050,0,0,164,1133,Churned,Attitude,Attitude of support person
CUS-00085-US,Female,74,Single,Illinois,10,19,,Active,Active,Active,Fiber Optic,Inactive,Active,Active,Active,Active,Active,Inactive,Active,Two Year,Active,Bank Withdrawal,112,8153,0,0,1334,9511,Stayed,,
CUS-00086-US,Male,25,Married,Michigan,13,29,Deal 5,Active,Active,Active,Fiber Optic,Inactive,Active,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Month-to-Month,Active,Mailed Check,85,78,0,0,1,80,Churned,Competitor,Lack of affordable download/upload speed
CUS-00087-US,Male,28,Married,Texas,6,19,Deal 5,Active,Inactive,Inactive,,,,,,,,,,Month-to-Month,Inactive,Credit Card,19,64,0,0,77,144,Churned,Competitor,Long distance charges
CUS-00088-US,Male,74,Single,California,0,22,,Active,Active,Active,Fiber Optic,Inactive,Active,Active,Inactive,Inactive,Inactive,Inactive,Active,Two Year,Active,Bank Withdrawal,93,2331,0,0,75,2655,Stayed,,
CUS-00089-US,Female,55,Single,Michigan,10,12,Deal 3,Active,Inactive,Inactive,,,,,,,,,,Month-to-Month,Active,Bank Withdrawal,21,523,0,0,340,873,Stayed,,
CUS-00090-US,Female,83,Single,Indiana,7,13,,Active,Active,Active,Fiber Optic,Inactive,Inactive,Inactive,Active,Active,Active,Active,Active,Month-to-Month,Active,Bank Withdrawal,97,3897,0,0,802,4593,Stayed,,
CUS-00091-US,Male,40,Single,Washington,4,18,,Active,Active,Active,Fiber Optic,Inactive,Inactive,Inactive,Inactive,Active,Active,Active,Active,Month-to-Month,Active,Bank Withdrawal,101,2281,0,0,836,3012,Churned,Price,Competitor had better devices
CUS-00092-US,Male,43,Married,Arizona,11,1,Deal 5,Active,Inactive,Active,Fiber Optic,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Month-to-Month,Inactive,Mailed Check,67,70,0,0,38,121,Churned,Price,Competitor had better devices
CUS-00093-US,Male,48,Single,Wisconsin,5,32,Deal 4,Active,Inactive,Active,DSL,Active,Inactive,Inactive,Active,Inactive,Inactive,Inactive,Active,Month-to-Month,Active,Bank Withdrawal,57,1207,0,0,555,1852,Churned,Attitude,Attitude of service provider
CUS-00094-US,Female,59,Single,Arizona,12,27,Deal 1,Active,Active,Active,Fiber Optic,Active,Active,Active,Active,Active,Active,Active,Active,Two Year,Active,Bank Withdrawal,109,8410,0,0,3709,11730,Stayed,,
CUS-00095-US,Female,53,Married,Arizona,6,22,,Active,Inactive,Inactive,,,,,,,,,,Two Year,Active,Bank Withdrawal,18,494,0,0,242,745,Stayed,,
CUS-00096-US,Female,36,Single,New York,0,35,,Active,Active,Active,Fiber Optic,Inactive,Inactive,Inactive,Inactive,Active,Inactive,Inactive,Active,Month-to-Month,Active,Bank Withdrawal,85,1438,0,0,148,1610,Stayed,,
CUS-00097-US,Female,18,Single,California,3,7,,Active,Active,Inactive,,,,,,,,,,Two Year,Inactive,Credit Card,28,2027,0,0,617,2503,Stayed,,
CUS-00098-US,Female,70,Single,Virginia,5,5,,Active,Active,Active,Fiber Optic,Active,Inactive,Active,Active,Active,Active,Inactive,Active,One Year,Active,Bank Withdrawal,105,3458,0,0,902,4909,Stayed,,
CUS-00099-US,Female,62,Married,Washington,10,18,,Active,Inactive,Inactive,,,,,,,,,,Month-to-Month,Inactive,Credit Card,19,55,0,0,8,68,Joined,,
CUS-00100-US,Female,47,Single,Florida,11,1,,Active,Active,Active,Fiber Optic,Inactive,Active,Inactive,Inactive,Active,Inactive,Inactive,Active,Month-to-Month,Inactive,Bank Withdrawal,79,3876,0,0,55,4380,Stayed,,
CUS-00101-US,Female,40,Single,Texas,4,33,,Active,Inactive,Active,Fiber Optic,Active,Active,Active,Active,Active,Active,Active,Active,Two Year,Inactive,Credit Card,109,6419,0,0,119,7479,Stayed,,
CUS-00102-US,Female,22,Married,Texas,5,1,,Active,Active,Active,Fiber Optic,Active,Active,Active,Active,Active,Active,Active,Active,One Year,Active,Bank Withdrawal,122,8174,0,0,202,7939,Stayed,,
CUS-00103-US,Female,69,Married,Texas,9,8,,Active,Inactive,Active,Fiber Optic,Inactive,Inactive,Inactive,Inactive,Active,Active,Active,Active,Two Year,Active,Bank Withdrawal,80,607,0,0,284,923,Stayed,,
CUS-00104-US,Female,56,Single,Maryland,4,36,Deal 3,Active,Inactive,Active,Fiber Optic,Active,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Month-to-Month,Inactive,Credit Card,71,2101,0,0,1264,3005,Stayed,,
CUS-00105-US,Female,29,Married,Michigan,5,5,,Active,Inactive,Inactive,,,,,,,,,,Month-to-Month,Inactive,Credit Card,19,33,0,0,4,39,Joined,,
CUS-00106-US,Female,31,Married,Washington,9,3,Deal 3,Inactive,,Active,Cable,Active,Inactive,Inactive,Active,Inactive,Inactive,Inactive,Active,Two Year,Inactive,Bank Withdrawal,33,785,0,0,0,824,Stayed,,
CUS-00107-US,Female,78,Married,Missouri,0,26,,Active,Inactive,Active,DSL,Active,Active,Inactive,Inactive,Active,Active,Inactive,Active,One Year,Active,Bank Withdrawal,68,2095,0,0,1160,3477,Stayed,,
CUS-00108-US,Male,70,Married,Texas,3,8,,Active,Inactive,Active,Fiber Optic,Active,Active,Inactive,Active,Active,Active,Active,Active,One Year,Active,Credit Card,107,5918,0,0,1045,6559,Churned,Attitude,Attitude of support person
CUS-00109-US,Male,27,Single,Wisconsin,14,7,Deal 4,Active,Active,Active,Fiber Optic,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Active,Inactive,Month-to-Month,Active,Bank Withdrawal,79,783,0,105,20,1043,Churned,Price,Competitor offered more data
CUS-00110-US,Female,70,Single,Indiana,2,15,,Active,Active,Active,Fiber Optic,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Month-to-Month,Active,Credit Card,77,596,0,0,85,654,Stayed,,
CUS-00111-US,Male,82,Married,California,3,1,,Active,Active,Active,Fiber Optic,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Inactive,Active,Month-to-Month,Active,Bank Withdrawal,83,439,0,0,174,649,Churned,Other,Deceased
CUS-00112-US,Female,49,Single,Georgia,1,37,,Active,Active,Active,Fiber Optic,Active,Inactive,Active,Inactive,Inactive,Inactive,Inactive,Inactive,One Year,Inactive,Bank Withdrawal,93,6071,0,40,2456,9055,Stayed,,
CUS-00113-US,Female,68,Single,Georgia,4,13,,Active,Active,Active,Fiber Optic,Active,Inactive,Inactive,Inactive,Active,Active,Active,Active,Two Year,Active,Bank Withdrawal,111,6893,0,0,706,7070,Stayed,,
CUS-00114-US,Male,27,Single,Maryland,12,11,Deal 1,Active,Active,Active,Fiber Optic,Active,Active,Active,Active,Active,Active,Active,Active,One Year,Inactive,Credit Card,117,8572,0,0,770,8154,Churned,Dissatisfaction,Network reliability
CUS-00115-US,Male,62,Married,North Carolina,6,36,Deal 3,Active,Active,Inactive,,,,,,,,,,One Year,Inactive,Bank Withdrawal,23,719,0,0,145,753,Churned,Competitor,Long distance charges
CUS-00116-US,Female,48,Married,Michigan,10,31,Deal 2,Active,Inactive,Inactive,,,,,,,,,,Two Year,Active,Credit Card,21,867,0,0,1054,2024,Stayed,,
CUS-00117-US,Female,73,Married,Missouri,8,28,Deal 2,Active,Active,Active,Fiber Optic,Active,Active,Active,Active,Active,Active,Active,Active,One Year,Active,Credit Card,116,5986,0,0,636,6541,Stayed,,
CUS-00118-US,Male,59,Married,Ohio,10,34,,Active,Inactive,Active,Fiber Optic,Active,Inactive,Active,Active,Active,Active,Active,Active,Month-to-Month,Inactive,Bank Withdrawal,99,1650,0,0,318,2011,Churned,Price,Competitor made better offer
CUS-00119-US,Female,50,Married,Virginia,14,32,Deal 4,Active,Inactive,Inactive,,,,,,,,,,Month-to-Month,Inactive,Bank Withdrawal,18,179,0,0,91,310,Stayed,,
CUS-00120-US,Female,48,Single,North Carolina,5,34,,Inactive,,Active,Cable,Inactive,Active,Inactive,Inactive,Active,Active,Active,Active,Month-to-Month,Active,Bank Withdrawal,51,1173,0,0,0,1001,Stayed,,
